address,location/lat,location/lng,phone,reviewsCount,title,totalScore,url,website,category
"5, V Kolkovně 920, Staré Město, 110 00 Praha, Czechia",50.0896,14.4217,+420 734 202 505,409.0,steampunk Prague,4.0,"https://www.google.com/maps/place/steampunk+Prague/@50.0896,14.4195113,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94e9bbb01dfd:0x1c1fb5114926bb1!8m2!3d50.0896!4d14.4217?hl=en",steampunkprague.cz,Party
"Velkopřevorské nám. 4, 118 00 Malá Strana, Czechia",50.0862425,14.4062888,+420 603 160 718,349.0,Cafe De Paris,4.4,"https://www.google.com/maps/place/Cafe+De+Paris/@50.0862425,14.4041001,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94e3a6d8d43d:0x32efe7a34e981d4d!8m2!3d50.0862425!4d14.4062888?hl=en",cafedeparis.cz,Restaurant
"Václavské nám. 21, 110 00 Nové Město, Czechia",50.082543799999996,14.4265824,+420 732 221 111,1.781,DUPLEX,4.4,"https://www.google.com/maps/place/DUPLEX/@50.0825438,14.4243937,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94ed3db6729b:0x3fdc81b34224f9af!8m2!3d50.0825438!4d14.4265824?hl=en",duplex.cz,Party
"18, Na Maninách 1042, 170 00 Praha 7, Czechia",50.1023512,14.452739999999999,+420 222 956 949,254.0,Port Stanley - restaurace,4.2,"https://www.google.com/maps/place/Port+Stanley+-+restaurace/@50.1023512,14.4505513,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94b1e2559537:0x51a2338a9bf549ae!8m2!3d50.1023512!4d14.45274?hl=en",portstanley.cz,Restaurant
"Veselská 663, 199 00 Praha 9, Czechia",50.135346000000006,14.503302,+420 725 902 152,232.0,PUB INFINITY,4.1,"https://www.google.com/maps/place/PUB+INFINITY/@50.135346,14.5011133,17z/data=!3m1!4b1!4m5!3m4!1s0x470bed153e97e95f:0x50e197d5a98516a0!8m2!3d50.135346!4d14.503302?hl=en",pubinfinity.cz,Restaurant
"Americká 152/15, 120 00 Praha 2-Vinohrady, Czechia",50.072169200000005,14.4382416,+420 725 734 613,729.0,Kavárna Zanzibar,4.4,"https://www.google.com/maps/place/Kav%C3%A1rna+Zanzibar/@50.0721692,14.4360529,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94863d9031c5:0x163d8a6ccdb249e5!8m2!3d50.0721692!4d14.4382416?hl=en",kavarnazanzibar.cz,Party
"Smíchov-Smíchov CZ, Nádražní 222/23, Anděl, 150 00 Praha 5, Czechia",50.0704586,14.4045031,+420 257 941 669,1.767,Potrefená husa,4.1,"https://www.google.com/maps/place/Potrefen%C3%A1+husa/@50.0704586,14.4023144,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9459dce45739:0x56812a3870d15350!8m2!3d50.0704586!4d14.4045031?hl=en",potrefenahusaandel.cz,Restaurant
"Lodecká 1184/3, 110 00 Praha 1 - Nové Město-Petrská čtvrť, Czechia",50.091848399999996,14.432581699999998,+420 222 314 106,392.0,Tobruk,4.1,"https://www.google.com/maps/place/Tobruk/@50.0918484,14.430393,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94bf886e8df1:0x1e63f76bb2b44238!8m2!3d50.0918484!4d14.4325817?hl=en",kavarnatobruk.cz,Cafe
"Jánský vršek 241, 118 00 Malá Strana, Czechia",50.0883179,14.398488,+420 257 531 455,854.0,Tavern by Seven Swabians,4.3,"https://www.google.com/maps/place/Tavern+by+Seven+Swabians/@50.0883179,14.3962993,17z/data=!3m1!4b1!4m5!3m4!1s0x470b951dcfd2c425:0xb52bd29e51484fe3!8m2!3d50.0883179!4d14.398488?hl=en",7svabu.cz,Restaurant
"Spojovací 192/17, 190 00 Praha 9-Vysočany, Czechia",50.1011049,14.490466099999999,+420 607 799 100,95.0,Bubu's Pub & Kitchen,4.7,"https://www.google.com/maps/place/Bubu's+Pub+%26+Kitchen/@50.1011049,14.4882774,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9331839bc2cf:0x4ad6a1da24dee0a7!8m2!3d50.1011049!4d14.4904661?hl=en",bubus.cz,Restaurant
"Za Hládkovem 975/2, 169 00 Praha 6, Czechia",50.089818799999996,14.384472,+420 604 562 941,108.0,Burger Pub Na Hubálce,4.8,"https://www.google.com/maps/place/Burger+Pub+Na+Hub%C3%A1lce/@50.0898188,14.3822833,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9510dc0b302b:0xaa72af9543188390!8m2!3d50.0898188!4d14.384472?hl=en",nahubalce.cz,Restaurant
"Pernerova 49, 186 00 Karlín, Czechia",50.0915528,14.454290300000002,+420 731 140 884,2.793,Restaurace s pekárnou Eska,4.5,"https://www.google.com/maps/place/Restaurace+s+pek%C3%A1rnou+Eska/@50.0915528,14.4521016,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94a3e03542d5:0xaddb518a78ccc5ba!8m2!3d50.0915528!4d14.4542903?hl=en",eskakarlin.cz,Restaurant
"Bělehradská 448, 120 00 Praha 2-Vinohrady, Czechia",50.0708559,14.4334541,+420 222 522 054,944.0,Merlin,4.5,"https://www.google.com/maps/place/Merlin/@50.0708559,14.4312654,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94884f3a9f55:0xa3812892fde11003!8m2!3d50.0708559!4d14.4334541?hl=en",merlin-pub.cz,Restaurant
"10, Strahovské nádvoří 301, Hradčany, 118 00 Praha 1, Czechia",50.086826,14.388276000000001,+420 233 353 155,2296.0,Strahov Monastery Brewery.,4.3,"https://www.google.com/maps/place/Strahov+Monastery+Brewery./@50.086826,14.3860873,17z/data=!3m1!4b1!4m5!3m4!1s0x470b951aee50c97b:0x173e21c6d39843dc!8m2!3d50.086826!4d14.388276?hl=en",klasterni-pivovar.cz,Party
"U Rajské zahrady 809, 130 00 Praha 3-Žižkov, Czechia",50.0824851,14.4442854,+420 739 991 941,486.0,Belzepub,4.6,"https://www.google.com/maps/place/Belzepub/@50.0824851,14.4420967,17z/data=!3m1!4b1!4m5!3m4!1s0x470b949a17990a4b:0xce39233f6200374b!8m2!3d50.0824851!4d14.4442854?hl=en",belzepub.cz,Party
"Karlova 20, 110 00 Staré Město, Czechia",50.085959700000004,14.4163699,+420 778 017 088,1959.0,The Irish Times Bar,4.5,"https://www.google.com/maps/place/The+Irish+Times+Bar/@50.0859597,14.4141812,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94ef45fa2243:0xab4b259fe6c9f4ee!8m2!3d50.0859597!4d14.4163699?hl=en",irishtimesbar.cz,Restaurant
"Nábřeží Ludvíka Svobody 1, 110 00 Praha 1-Nové Město-Nové Město, Czechia",50.093484600000004,14.427674900000001,+420 608 973 582,802.0,U Bukanýra,4.3,"https://www.google.com/maps/place/U+Bukan%C3%BDra/@50.0934846,14.4254862,17z/data=!3m1!4b1!4m5!3m4!1s0x470b94c104b8e899:0x179931b287ead521!8m2!3d50.0934846!4d14.4276749?hl=en",bukanyr.cz,Party
"32, Záhřebská 153, Vinohrady, 120 00 Praha, Czechia",50.0722448,14.438013199999999,+420 775 053 576,229.0,Ron Bar,4.5,"https://www.google.com/maps/place/Ron+Bar/@50.0722448,14.4358245,17z/data=!3m1!4b1!4m5!3m4!1s0x470b9486519ab1e7:0xdc518ac78e550fc7!8m2!3d50.0722448!4d14.4380132?hl=en",ronbar.cafe,Party
"Staropramenná 16, 150 00 Praha 5-Anděl, Czechia",50.0713204,14.407182,+420 725 330 477,12.0,Old Smíchov Pub,4.8,"https://www.google.com/maps/place/Old+Sm%C3%ADchov+Pub/@50.0713204,14.4049933,17z/data=!3m1!4b1!4m5!3m4!1s0x470b95812976296f:0x8c32e93f865bdd1e!8m2!3d50.0713204!4d14.407182?hl=en",smichovpub.cz,Restaurant
